reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOFmkeI1XOO07WI0eRg_giDS45Jw9B4i75kpmUHZ0dO6BS7jEndba5PbNRepnfZRDeOqRGsEGjqrOpmY-Q,lushitharan,https://play-lh.googleusercontent.com/a-/AOh14GjlvTZcuSupn--7AI-UKC9UFXIKT2xFvXKRG8D8pg,This app crashes itself and to say its slows down always. I've wanted to say this for a long time but your connection is the worst it takes a long time to download anything via WiFi. I even play games with it and the ping goes unexpectedly high with no reason please fix this issue as soon as possible or else you may lose many of your valuable customers including me.,1,84,15.0.0,2022-03-28 13:30:20,"Hi, Apologies for any inconvenience caused to you. We are continuously improving the speed and the stability of the app, and keep the app always updated with the latest version. If you are facing any data slowness or low signal issues, kindly reach us via the WhatsApp hotline (777678678) to get better assistance.

",2022-03-28 13:35:41,most_relevant,net.omobio.dialogsc
gp:AOqpTOEclc0vKFgbr6svyQdhSlcrAkVEfnnpV2IDBXHZQ7xIN-F_YdcmHzsTaut76ECaEx_6EbrGGSycnWMmsA,Buddhima Zoysa,https://play-lh.googleusercontent.com/a/AATXAJyeeJeoVIxHgxF-ntOYvxg9xQvQDBXjQvL6C-s=mo,When I open the app I have to wait about from 30 to 40 seconds on a loading screen. And that's ok. But what is not ok is that the app takes another 30 seconds to load the balence information. You can't do anything until it finishes. And it's not all the waiting you have to do. After you activating a data package the whole app just becomes almost not responding. Only thing you can do is swipe up and down the screen. It takes another 30 seconds to go back to the main menu. It is so frustating😡.,1,518,14.3.0,2022-01-27 02:24:43,"Hi, Thankyou for your feedback. Our team is currently working on improvements regarding the same. Please keep the app up-to-date as our team will be rolling out fixes in the near future. We apologize for any inconvenience caused due to this matter.
",2022-01-27 03:06:02,most_relevant,net.omobio.dialogsc
gp:AOqpTOHQKYC6pqA_ACyosBplqa0CjFkc_M5rdSfZ1HmC86Zb213BHzEpHui4goir0jnzNyRsoaC5kh3jjgX8nQ,Shahinth Jeewaratnam,https://play-lh.googleusercontent.com/a/AATXAJxmB-dkHWREcIviVR_LWxhU2ltYvhRvLXj9v2PA=mo,"The App is extremely poor as always. The Previous updates (before this and the previous one ) is better than this. They invented smartphone applications for better customer experience,smoothness and less complexity to the customer. But you guys are making tuff to use that. For example, To find the data balance from your app, normal people need to study extra courses (graph view or static view STH). UX is very very bad as your packages and coverage. Try to learn from other ISPs. GBU!",1,1,,2022-03-05 15:43:35,"Hi Shahinth !

Please share more details of the incident via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating😊
",2022-03-05 15:52:16,most_relevant,net.omobio.dialogsc
gp:AOqpTOGnCP1DH23IcAQWufUw99m7eZ7k0dsO9OrzVRZiplS7ySllbsrKuY1_8H2XCTjid1uLrwwpq6i3_cl0ng,Harshana Wijesinghe,https://play-lh.googleusercontent.com/a-/AOh14GiM4a7JOElwaCPBxazkFQLCi1W-IWq60KEHjlYu-g,"Please change the new UI to the older one or a better one. This is so confusing and frustrating. Most of time I spend my time on the data meeter and it was perfectly conveyed in former modules. But, this update made it so difficult to understand. Specially, when I need to update the data cards. I kindly request to fix this UI issue.",1,335,14.0.1,2021-03-23 09:58:02,"Hi Harshana,
As mobile phone technology is constantly developing, as mobile app developers we are finding better ways to enhance the user experience along with it.
Anyways thanks for the feedback and we'll share the same to the relevant.",2021-03-23 10:19:00,most_relevant,net.omobio.dialogsc
gp:AOqpTOEMhrCIitAReGzQUig_z3He1Vvnm-wKmIGbE9oytytJXvneqKf0qPjVdwviLde_BB4F9iNwSnyb_pyCgw,Areeba Haroon,https://play-lh.googleusercontent.com/a-/AOh14GjJ527T61sNnpCv6QXP5oy1iwB14BBbi5B3DcbbFiE,"The app is extremely slow. Literally takes 5 minutes to load from one thing to the other. Ex: If I had to reload the per day tv account, by the time I get to the payment options and payment processes, the show I was watching is over. Such a waste of time using the app. Would rather go to a supermarket and pay my dialog bills in a shorter time than using the app. Please fix the speed of the app. Its almost useless as of now.",1,681,14.1.1,2021-07-15 18:58:54,"Hi Areeba, We are extremely sorry about the unpleasant experiences you went through. Kindly get back to us via WhatsApp(0777678678) with your connection and device details as our team would check and assist you with the same.",2021-07-15 19:34:15,most_relevant,net.omobio.dialogsc
gp:AOqpTOHphVjLcputnQVRtOAbMOLzQwdM8NK0A-CfnjX8mSL9xJyXS2LIxm1A7CpJwrKvDieOw3uKko-0mv_Ayw,Avishka Ariyaratne,https://play-lh.googleusercontent.com/a-/AOh14GhoGWkZtXpH0by0XiVeqflDoa0SRu5BXIhh14WAfg4,"This app is absolute trash. It can't even efficiently execute the main function of this app which is to check your data usage. It lags, stutters and the information it displays is utterly useless after waiting for few seconds. You need do some extra clicking to find out more information. From a developers perspective, the backend services are slow, the UX is horrible. I don't care about fancy colours and fonts. Please develop a fast and reliable application. That should be the priority!",1,72,14.0.1,2021-05-06 04:55:28,,,most_relevant,net.omobio.dialogsc
gp:AOqpTOGtkzMJZ-nrfsnlxhtN-frvStsHitTHnhJPvBKc-BtPi9MyoQCXSun-kkBLouIqBqk7C51vOa6blsIjdg,Prashan Jayaminda,https://play-lh.googleusercontent.com/a-/AOh14GjheW-WuLLCJC46YH6XaB8eouZzp7P6AUoMlClXeg,This might be the worst quality app you made. Because the fastest network has the slowest self-care app. It takes at least 3 or 4 minutes to open the app and another 2 or 3 minuts to load information. I think the old version is better than this. Old version was faster than this version. Hope you will solve that problem and give us a better self-care app. Then I will rate more stars. Thank you.,1,16,12.1.0,2021-03-14 12:45:42,"Hi Prashan!

Thank you for your valueble feedback. I will escalate this to the reevant team and they will take actions to improve the App.
^Shaz",2021-03-14 12:56:08,most_relevant,net.omobio.dialogsc
gp:AOqpTOHbJ5e512BGhpii8blwPbzr-ekRGv0q5OXNebUBcNzvPJ8v6_B_bOA2mBur9Z-d2vjZ7IQkwteRO23Esg,Apisathan Sivananthanathan,https://play-lh.googleusercontent.com/a-/AOh14GgzXZwD45jBpAV1Um0em4DmcjsbDVyo3oSpDsYwVA,Besides poor reception the worst thing about dialog is that they don't even know how to properly build an app . UI is lagging most of the time and surprising when I try to open the app to do something really important it says error. The star points feature is cool though. Good thing I switched to Airtel.Even their H+ band is faster than Dialog 4G.,1,1,14.0.1,2021-06-01 11:10:37,"Hi Apisathan, we regret the inconvenience caused. We're continuously working on improving your experience. Please share more details & any error messages via email to service@dialog.lk. Our technical team will gladly assist you 😊",2021-06-01 11:21:07,most_relevant,net.omobio.dialogsc
gp:AOqpTOFxDNK8A-CJUeeLvTBOvHaXuZzLiweqS1A6QyYvbsz9N_v3Cc34wUd-S-ZZ-OIjy8I_IY29VVyuhlSjzg,Udeepa Piyathilake,https://play-lh.googleusercontent.com/a-/AOh14GgJelJr5jfEETW2aBnQ6fmIqDNoGP1AeWz-3pKk9_g,"I tried to raise a concern through send your problem option. I typed and submitted many times, but it doesn't go through. seems like it's just a nice to have option which is not active. Wasted my time!! That means the option in My Dialog app is not functioning, is it? Update on 25/06/2021 This app is not working anymore. It's wasted. Slow like a snail. What are you guys doing Dialog?",1,518,14.1.1,2021-06-24 19:45:28,"Hi ,We are extremely sorry about the unpleasant experiences you went through. Kindly get back to us via WhatsApp(0777678678) with your connection and device details as our team would check and assist you with the same.",2021-06-24 20:31:01,most_relevant,net.omobio.dialogsc
gp:AOqpTOEhxZW8WClD5i0YzXAIiRtjArMSMlYKdJzadtXc-CBznJ5byy_A1Ie7zDBR7N6ecveTmKUw6weimncrPA,Vidya Waruni,https://play-lh.googleusercontent.com/a-/AOh14GifUL2egZnLQA2QogjzB1X-crbBnQxCvHy2sqnA_w,I am so frustrated to use this new look(UI) . Can't you change it last look we have experienced. I have no feel of trust to pay online through app. Is this new look really depends on customer requirements? I doubt it. Kindly asking you to roll back to the previous version or come up with more user friendly interface.,1,172,14.0.1,2021-04-02 04:02:11,"Hi, we are sorry to hear this :( Please feel free to share us your feedback on whatsapp 0777678678",2021-04-02 04:04:21,most_relevant,net.omobio.dialogsc
